Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Social_Icon,Chrome 125.0.0.0,,,28-05-2024 20:54:21,28-05-2024 20:54:45,23.873s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Dribbble_Ico,Chrome 125.0.0.0,,,28-05-2024 20:54:21,28-05-2024 20:54:32,11.053s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:54:22,28-05-2024 20:54:26,4.100s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:54:26,28-05-2024 20:54:27,1.431s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/i_infokatalon.com_fa fa-dribbble fa-fw fa-3x""), 0)",Chrome 125.0.0.0,,,28-05-2024 20:54:27,28-05-2024 20:54:31,3.506s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:54:31,28-05-2024 20:54:32,1.561s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Facebook_Ico,Chrome 125.0.0.0,,,28-05-2024 20:54:32,28-05-2024 20:54:40,7.531s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:54:33,28-05-2024 20:54:36,3.002s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:54:36,28-05-2024 20:54:37,1.107s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-facebook fa-fw fa-3x""), 0)",Chrome 125.0.0.0,,,28-05-2024 20:54:37,28-05-2024 20:54:39,2.671s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:54:39,28-05-2024 20:54:40,0.561s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Twitter_Ico,Chrome 125.0.0.0,,,28-05-2024 20:54:40,28-05-2024 20:54:45,4.901s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 20:54:40,28-05-2024 20:54:41,1.355s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 20:54:41,28-05-2024 20:54:44,3.086s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-facebook fa-fw fa-3x""), 0)",Chrome 125.0.0.0,,,28-05-2024 20:54:44,28-05-2024 20:54:45,0.294s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 20:54:45,28-05-2024 20:54:45,0.148s,PASSED
