Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-menu,Chrome 125.0.0.0,,,29-05-2024 21:05:54,29-05-2024 21:26:03,20m - 8.883s,FAILED
,,,,,,,
Test Cases/KMS/KMS-Check-Global-Nav,Chrome 125.0.0.0,,,29-05-2024 21:21:02,29-05-2024 21:26:03,5m - 1.128s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 21:21:02,29-05-2024 21:21:03,0.872s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,29-05-2024 21:21:03,29-05-2024 21:26:03,5m - 0.232s,FAILED
