Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Header_Footer,Chrome 125.0.0.0,,,28-05-2024 21:32:20,28-05-2024 21:46:08,13m - 47.887s,FAILED
,,,,,,,
Test Cases/FPT-TC01-Verify-Header,Chrome 125.0.0.0,,,28-05-2024 21:37:55,28-05-2024 21:39:20,1m - 24.681s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:37:55,28-05-2024 21:37:56,0.816s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:37:56,28-05-2024 21:39:09,1m - 12.720s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/img_Singapore (English)_img-logo""))",Chrome 125.0.0.0,,,28-05-2024 21:39:09,28-05-2024 21:39:20,11.129s,FAILED
,,,,,,,
Test Cases/FPT-TC02-Verify-ContactUS,Chrome 125.0.0.0,,,28-05-2024 21:44:56,28-05-2024 21:46:08,1m - 12.533s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:44:56,28-05-2024 21:44:57,0.814s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:44:57,28-05-2024 21:45:32,35.479s,PASSED
"scrollToElement(findTestObject(""FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_About Us                Careers        _647cf1""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:45:32,28-05-2024 21:46:08,36.228s,FAILED
