Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
fpt-suites,Chrome 125.0.0.0,,,28-05-2024 21:32:15,28-05-2024 22:10:25,38m - 10.589s,FAILED
,,,,,,,
Test Cases/FPT-TC-16-Journey-Clickable,Chrome 125.0.0.0,,,28-05-2024 21:35:17,28-05-2024 21:36:18,1m - 1.188s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:35:17,28-05-2024 21:35:18,0.841s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:35:18,28-05-2024 21:35:46,28.664s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_Accompany You on Your Transformation J_93dfc8/a_Accompany You on Your Transformation Journey""))",Chrome 125.0.0.0,,,28-05-2024 21:35:46,28-05-2024 21:36:18,31.668s,FAILED
,,,,,,,
Test Cases/FPT-TC05-Verify-ContactUS-From,Chrome 125.0.0.0,,,28-05-2024 21:39:21,28-05-2024 21:41:13,1m - 51.991s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:39:21,28-05-2024 21:39:22,0.823s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:39:22,28-05-2024 21:40:40,1m - 18.182s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Contact us""))",Chrome 125.0.0.0,,,28-05-2024 21:40:40,28-05-2024 21:41:13,32.966s,FAILED
,,,,,,,
Test Cases/FPT-TC06-Verify-Career-Clickable,Chrome 125.0.0.0,,,28-05-2024 21:41:13,28-05-2024 21:42:22,1m - 8.808s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:41:13,28-05-2024 21:41:14,0.974s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:41:14,28-05-2024 21:41:50,36.202s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Career""))",Chrome 125.0.0.0,,,28-05-2024 21:41:50,28-05-2024 21:42:21,31.428s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:42:21,28-05-2024 21:42:22,0.153s,PASSED
,,,,,,,
Test Cases/FPT-TC19-Mission-Visibility,Chrome 125.0.0.0,,,28-05-2024 21:42:22,28-05-2024 21:43:38,1m - 16.789s,PASSED
