Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Body,Chrome 125.0.0.0,,,28-05-2024 22:47:12,28-05-2024 23:05:27,18m - 15.392s,FAILED
,,,,,,,
Test Cases/FPT-TC03-Verify-Customer-Stories,Chrome 125.0.0.0,,,28-05-2024 22:50:28,28-05-2024 22:51:42,1m - 14.611s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 22:50:28,28-05-2024 22:50:29,0.830s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 22:50:29,28-05-2024 22:51:10,41.687s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/h3_CUSTOMER STORIES""), ""CUSTOMER STORIES"")",Chrome 125.0.0.0,,,28-05-2024 22:51:10,28-05-2024 22:51:42,32.078s,FAILED
,,,,,,,
Test Cases/FPT-TC04-Verify-Our-Mission,Chrome 125.0.0.0,,,28-05-2024 23:03:59,28-05-2024 23:05:27,1m - 28.290s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 23:03:59,28-05-2024 23:04:00,0.868s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 23:04:00,28-05-2024 23:04:19,19.093s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE                              a c_6fe479""))",Chrome 125.0.0.0,,,28-05-2024 23:04:19,28-05-2024 23:04:51,31.580s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE""), ""WE ARE"")",Chrome 125.0.0.0,,,28-05-2024 23:04:51,28-05-2024 23:05:27,36.695s,FAILED
