Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Body,Chrome 125.0.0.0,,,28-05-2024 21:10:34,28-05-2024 21:28:23,17m - 48.785s,FAILED
,,,,,,,
Test Cases/FPT-TC03-Verify-Customer-Stories,Chrome 125.0.0.0,,,28-05-2024 21:15:55,28-05-2024 21:17:31,1m - 36.669s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:15:55,28-05-2024 21:15:56,1.262s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:15:56,28-05-2024 21:16:50,54.573s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/h3_CUSTOMER STORIES""), ""CUSTOMER STORIES"")",Chrome 125.0.0.0,,,28-05-2024 21:16:50,28-05-2024 21:17:31,40.813s,FAILED
,,,,,,,
Test Cases/FPT-TC04-Verify-Our-Mission,Chrome 125.0.0.0,,,28-05-2024 21:26:36,28-05-2024 21:28:23,1m - 47.437s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:26:36,28-05-2024 21:26:37,1.281s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:26:37,28-05-2024 21:27:15,38.282s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE                              a c_6fe479""))",Chrome 125.0.0.0,,,28-05-2024 21:27:15,28-05-2024 21:27:47,31.424s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE""), ""WE ARE"")",Chrome 125.0.0.0,,,28-05-2024 21:27:47,28-05-2024 21:28:23,36.427s,FAILED
