Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
fpt-suites,Chrome 125.0.0.0,,,29-05-2024 19:33:45,29-05-2024 20:03:12,29m - 26.506s,FAILED
,,,,,,,
Test Cases/FPT-TC-16-Journey-Clickable,Chrome 125.0.0.0,,,29-05-2024 19:36:03,29-05-2024 19:36:48,44.826s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:36:03,29-05-2024 19:36:04,0.921s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:36:04,29-05-2024 19:36:16,11.841s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_Accompany You on Your Transformation J_93dfc8/a_Accompany You on Your Transformation Journey""))",Chrome 125.0.0.0,,,29-05-2024 19:36:16,29-05-2024 19:36:48,32.043s,FAILED
,,,,,,,
Test Cases/FPT-TC05-Verify-ContactUS-From,Chrome 125.0.0.0,,,29-05-2024 19:39:03,29-05-2024 19:39:47,43.997s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:39:03,29-05-2024 19:39:04,0.957s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:39:04,29-05-2024 19:39:15,11.203s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Contact us""))",Chrome 125.0.0.0,,,29-05-2024 19:39:15,29-05-2024 19:39:47,31.810s,FAILED
,,,,,,,
Test Cases/FPT-TC06-Verify-Career-Clickable,Chrome 125.0.0.0,,,29-05-2024 19:39:47,29-05-2024 19:40:38,50.905s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:39:47,29-05-2024 19:39:48,0.857s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:39:48,29-05-2024 19:40:06,18.130s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Career""))",Chrome 125.0.0.0,,,29-05-2024 19:40:06,29-05-2024 19:40:38,31.718s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 19:40:38,29-05-2024 19:40:38,0.140s,PASSED
,,,,,,,
Test Cases/FPT-TC19-Mission-Visibility,Chrome 125.0.0.0,,,29-05-2024 19:40:38,29-05-2024 19:41:34,55.519s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:40:38,29-05-2024 19:40:39,0.696s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:40:39,29-05-2024 19:41:00,20.924s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE                              a c_6fe479""))",Chrome 125.0.0.0,,,29-05-2024 19:41:00,29-05-2024 19:41:33,33.694s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 19:41:33,29-05-2024 19:41:34,0.155s,PASSED
,,,,,,,
Test Cases/FPT-TC18-Check-Banner-Visibility,Chrome 125.0.0.0,,,29-05-2024 19:41:34,29-05-2024 19:41:45,11.674s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:41:34,29-05-2024 19:41:34,0.675s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:41:34,29-05-2024 19:41:45,10.803s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 19:41:45,29-05-2024 19:41:45,0.137s,PASSED
,,,,,,,
Test Cases/FPT-TC17-Verify-OurServices,Chrome 125.0.0.0,,,29-05-2024 19:44:16,29-05-2024 19:45:08,52.830s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:44:16,29-05-2024 19:44:16,0.862s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:44:16,29-05-2024 19:44:28,11.148s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/span_Our services""), ""OUR SERVICES"")",Chrome 125.0.0.0,,,29-05-2024 19:44:28,29-05-2024 19:45:08,40.802s,FAILED
,,,,,,,
Test Cases/FPT-TC15-Verify_Journey,Chrome 125.0.0.0,,,29-05-2024 19:47:22,29-05-2024 19:48:07,44.695s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:47:22,29-05-2024 19:47:23,0.945s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:47:23,29-05-2024 19:47:35,11.350s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Accompany You on Your Transformation Journey""), ""Accompany You on Your Transformation Journey"")",Chrome 125.0.0.0,,,29-05-2024 19:47:35,29-05-2024 19:48:07,32.381s,FAILED
,,,,,,,
Test Cases/FPT-TC14-Verify-Twitter-Clickable,Chrome 125.0.0.0,,,29-05-2024 19:48:07,29-05-2024 19:48:58,51.368s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:48:07,29-05-2024 19:48:08,0.848s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,29-05-2024 19:48:08,29-05-2024 19:48:27,18.633s,PASSED
"click(findTestObject(""FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Industries""))",Chrome 125.0.0.0,,,29-05-2024 19:48:27,29-05-2024 19:48:58,31.667s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 19:48:58,29-05-2024 19:48:58,0.154s,PASSED
,,,,,,,
Test Cases/FPT-TC13-Verify-LearnMore-Clickable,Chrome 125.0.0.0,,,29-05-2024 19:51:13,29-05-2024 19:51:57,43.986s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 19:51:13,29-05-2024 19:51:14,0.857s,PASSED
